,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume
179,179,179,2019-07-02,1919.380005,1934.790039,1906.630005,1934.310059,1934.310059,2645900
180,180,180,2019-07-03,1935.890015,1941.589966,1930.5,1939.0,1939.0,1690300
181,181,181,2019-07-05,1928.5999760000002,1945.9000239999998,1925.300049,1942.910034,1942.910034,2628400
182,182,182,2019-07-08,1934.119995,1956.0,1928.25,1952.319946,1952.319946,2883400
183,183,183,2019-07-09,1947.800049,1990.0100100000002,1943.47998,1988.300049,1988.300049,4345700
184,184,184,2019-07-10,1996.5100100000002,2024.939941,1995.4000239999998,2017.410034,2017.410034,4931900
185,185,185,2019-07-11,2025.619995,2035.800049,1995.300049,2001.069946,2001.069946,4317800
186,186,186,2019-07-12,2008.27002,2017.0,2003.869995,2011.0,2011.0,2509300
187,187,187,2019-07-15,2021.4000239999998,2022.9000239999998,2001.550049,2020.9899899999998,2020.9899899999998,2981300
188,188,188,2019-07-16,2010.5799559999998,2026.319946,2001.219971,2009.9000239999998,2009.9000239999998,2618200
189,189,189,2019-07-17,2007.050049,2012.0,1992.030029,1992.030029,1992.030029,2558800
190,190,190,2019-07-18,1980.0100100000002,1987.5,1951.550049,1977.9000239999998,1977.9000239999998,3486900
191,191,191,2019-07-19,1991.209961,1996.0,1962.22998,1964.52002,1964.52002,3185600
192,192,192,2019-07-22,1971.140015,1989.0,1958.2600100000002,1985.630005,1985.630005,2900000
193,193,193,2019-07-23,1995.9899899999998,1997.790039,1973.130005,1994.4899899999998,1994.4899899999998,2703500
194,194,194,2019-07-24,1969.300049,2001.300049,1965.869995,2000.810059,2000.810059,2631300
195,195,195,2019-07-25,2001.0,2001.199951,1972.719971,1973.819946,1973.819946,4136500
196,196,196,2019-07-26,1942.0,1950.9000239999998,1924.5100100000002,1943.050049,1943.050049,4927100
197,197,197,2019-07-29,1930.0,1932.22998,1890.540039,1912.449951,1912.449951,4493200
198,198,198,2019-07-30,1891.119995,1909.890015,1883.47998,1898.530029,1898.530029,2910900
199,199,199,2019-07-31,1898.109985,1899.550049,1849.439941,1866.780029,1866.780029,4470700
200,200,200,2019-08-01,1871.719971,1897.9200440000002,1844.0100100000002,1855.319946,1855.319946,4713300
201,201,201,2019-08-02,1845.069946,1846.359985,1808.02002,1823.2399899999998,1823.2399899999998,4956200
202,202,202,2019-08-05,1770.219971,1788.6700440000006,1748.780029,1765.130005,1765.130005,6058200
203,203,203,2019-08-06,1792.22998,1793.77002,1753.4000239999998,1787.8299559999994,1787.8299559999994,5070300
204,204,204,2019-08-07,1773.9899899999998,1798.930054,1757.0,1793.4000239999998,1793.4000239999998,4526900
205,205,205,2019-08-08,1806.0,1834.2600100000002,1798.109985,1832.890015,1832.890015,3701200
206,206,206,2019-08-09,1828.949951,1831.089966,1802.219971,1807.5799559999998,1807.5799559999998,2879800
207,207,207,2019-08-12,1795.9899899999998,1800.97998,1777.0,1784.9200440000006,1784.9200440000006,2905500
208,208,208,2019-08-13,1783.0,1831.7399899999998,1780.0,1824.339966,1824.339966,3994000
209,209,209,2019-08-14,1793.0100100000002,1795.6500239999998,1757.219971,1762.959961,1762.959961,4893600
210,210,210,2019-08-15,1781.9899899999998,1788.0,1761.959961,1776.119995,1776.119995,3759100
211,211,211,2019-08-16,1792.890015,1802.910034,1784.550049,1792.569946,1792.569946,3018000
